Model,Description,Prefix,Design,Size
z,"Sauce Dish, 2 oz., 3-1/2"" x 2-3/8"", break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF (2 dozen minimum order)",0001,Blue Bamboo,
0001J,"Sauce Dish, 2 oz., 3-1/2"" x 2-3/8"", break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF (2 dozen minimum order)",0001,Wei,
0002BB,"Divided Sauce Dish, 1 oz., 3-5/8"" x 2-3/4"", 2-wells, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",0002,Blue Bamboo,
0002J,"Divided Sauce Dish, 1-1/2 oz., 3-5/8"" x 2-3/4"", 2-wells, rectangular, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",0002,Wei,
0010BB,"Plate, 6-1/2"" x 5-1/2"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",0010,,
0010J,"Plate, 6-1/2"" x 5-1/2"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",0010,,
0011BB,"Sashimi Platter, 8-1/2"" x 4-3/4"", break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",0011,,
0011J,"Sashimi Platter, 8-1/2"" x 4-3/4"", break-resistant, dishwasher safe, BPA free, melamine, Wei, Bamboo, NSF",0011,,
0900BB,"Sandwich Tray, 13-1/2"" x 4-1/2"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",0900,,
0900J,"Sandwich Tray, 13-1/2"" x 4-1/2"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",0900,,
0901BB,"Tray, 13-1/8"" x 10-1/4"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",0901,Blue Bamboo,"13-1/8"" x 10-1/4"""
0901J,"Tray, 13-1/8"" x 10-1/4"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",0901,Wei,"13-1/8"" x 10-1/4"""
0902BB,"Tray, 15-1/4"" x 11-1/2"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",0902,Blue Bamboo,"15-1/4"" x 11-1/2"""
0902J,"Tray, 15-1/4"" x 11-1/2"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",0902,Wei,"15-1/4"" x 11-1/2"""
0903BB,"Tray, 17"" x 12-5/8"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",0903,Blue Bamboo,"17"" x 12-5/8"""
0903J,"Tray, 17"" x 12-5/8"", rectangular, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",0903,Wei,"17"" x 12-5/8"""
1000CFB,"Fish Platter, 10"", festive fish shaped, break-resistant, dishwasher safe, melamine, blue, BPA free, NSF",1000,,
1000CFG,"Fish Platter, 10"", festive fish shaped, break-resistant, dishwasher safe, melamine, light green, BPA free, NSF",1000,,
1000CFR,"Fish Platter, 10"", festive fish shaped, break-resistant, dishwasher safe, melamine, red, BPA free, NSF",1000,,
1002BB,"Side Bowl, 4 oz., 3-1/8"", square, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1002,,
1002J,"Side Bowl, 4 oz., 3-1/8"", square, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1002,,
1003AR,"Sauce Dish, 3 oz., 3-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF (5 dozen minimum order)",1003,,
1003DL,"Sauce Dish, 3 oz., 3-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF (5 dozen minimum order)",1003,,
1003TB,"Sauce Dish, 3 oz., 3-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF (5 dozen minimum order)",1003,,
1003TP,"Sauce Dish, 3 oz., 3-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF (5 dozen minimum order)",1003,,
1003TR,"Sauce Dish, 3 oz., 3-7/8"" dia., break-resistant, dishwasher safe, melamine, longevity, BPA free, NSF (5 dozen minimum order)",1003,,
1003TW,"Sauce Dish, 3 oz., 3-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF (5 dozen minimum order)",1003,,
1004AR,"Plate, 4 oz., 4-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",1004,,
1004DL,"Plate, 4oz., 4-1/2"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",1004,,
